ID,Статус,USDT,TON,Валюта,Продукт,BSC адрес,TON адрес,TX Hash,Дата
FT-TFCQZ246A735,paid,609,1.499589,ton,trust,0x6cf48701a521b50dc0FC2617950C2199Bc9af041,,0x96fc6f804151692870238f3988c0b26e4540c9a56a551e196da7867d9d9e3803,2026-05-20T20:16:14.161Z
FT-TFCQGY204122,paid,500,,usdt,trust,0x028E6Eb7e0E509aFF7De52C764A82b380c5c854f,,0xae4f00b8564c88e451160b1316a0ceb4fdcf4248d4ae09642b7b4360a07fda69,2026-05-20T20:05:22.012Z
FT-TFCNDOA82CDF,paid,609,1.499923,ton,trust,0x21610aBa10CEDC04782D861137974B3BA855d9F7,,0xb708b83e3d092995c54332a76903885d4bb820d03f17efa3b1474dede182ec1e,2026-05-20T18:58:36.401Z
FT-TFCGUDB41824,paid,1224,2.999884,ton,trust,0xA3989CA119d42785264149BAabA1A5219e10A9aD,,0x53bb012fbccd5f83fd95d610e3c17d534f4f9a7bde8b34c716e2e876ec3cee67,2026-05-20T16:37:25.188Z
FT-TFCEBX40511A,paid,500,1.249007,ton,trust,0x62fdd4f14576231d85fe7057b8a3320104995100,,0x7be6552beee7533fd59091af9746170e5abb581c190b92f14aa17213c012ee0f,2026-05-20T15:43:09.276Z
FT-TFC8GXBEEE50,expired,1440,,usdt,trust,0x94435375A48221B713349776D073C5FDD3a6d54f,,,2026-05-20T13:36:33.875Z
FT-SFTFC3P3CBB768,paid,500,1.288518,ton,metamask,E5Xyw6mF67fp9bMvVcZN5PVcPdWAYtvX8bsMJUDqcfdZ,,,2026-05-20T11:53:27.744Z
FT-SFTFC3D40AC956,paid,1009,2.599354,ton,metamask,BNaFeffZym8oV7MpcKxZvCnYQSp7FhHCQHmqjW6HTYPX,,,2026-05-20T11:46:16.423Z
FT-TFC32Y919D4F,paid,776,1.999115,ton,trust,0xF0D46F7354336fB8f6697a6807622f2Ff9080b9E,,0xdd5a0abb07b8dffc71c7dd983353dc8f106fee899bc4dd680db1a4cfc5c6458b,2026-05-20T11:40:10.500Z
FT-TFC2JQ81FFC0,paid,501,1.289973,ton,trust,0xd9Cb36952e2a57165d041827bD7ac10E613203c0,,0xa2a9cfe700f3dfb191d3e940e0a48f1f06ad754f767e5b82b8bb972f3b667c9b,2026-05-20T11:28:38.653Z
FT-TFBXUK20B338,paid,500,1.281945,ton,trust,0x6cf48701a521b50dc0FC2617950C2199Bc9af041,,0xed967d4ce634c292bc47a89ae171c7c9fed92c63c5964f1df94071bce6ea898c,2026-05-20T09:47:08.827Z
FT-TFBXAR47853F,waiting,500,1.281722,ton,trust,0x913b672e9ad6a353a95fde2be873c7f609d688cf,,,2026-05-20T09:35:15.372Z
FT-TFBG5K229888,paid,500,1.288005,ton,trust,0x6cf48701a521b50dc0FC2617950C2199Bc9af041,,0xea3069492b4e71e60b21ee00369762ba510327a12518a476da195519cf6c555c,2026-05-20T03:24:56.453Z
FT-TFAY4J84A812,waiting,500,,usdt,trust,0xD934d08A6B376a9C4608F49B8B586bA84d95182f,,,2026-05-19T20:55:31.143Z
FT-TFAUPQF82F3B,paid,500,,usdt,trust,0x53f28184F1720e05307562De96b7453A9213bbE5,,0x42d199743d0087ea4d75fe5c75b66ba4f6c5d3c82ab858adabe8b910df4409f4,2026-05-19T19:41:50.230Z
FT-TFATGN62570D,paid,1218,2.999707,ton,trust,0xe7a735Be3faE3EFc0EAa32EEc75324F630553014,,0x28fcb35c0b306e7c679318024893fbeb54ce9a236374e0f2e10ec147e28b78ac,2026-05-19T19:14:47.540Z
FT-TFAMW974C02F,paid,500,1.224683,ton,trust,0x9264cb9f139837d89ed62c4c9bda8a770f22bd62,,0xac0dc9e3d97abd7b3211ce3612564a37e77291ce960751cff1e2ca457750db3f,2026-05-19T16:52:57.858Z
FT-TFAM75E3B4F3,paid,812,1.999608,ton,trust,0xA3989CA119d42785264149BAabA1A5219e10A9aD,,0x366808d34a2b65d7424be2d11fc8caff3cebbb8938b8e9c27360d50f11db8076,2026-05-19T16:37:53.719Z
FT-TFAKHYFF99B7,paid,500,1.261779,ton,trust,0xEa615FcaDB90860828E4E30E2DCE35C297CAEe92,,0x35386d28c1b6be2fa64f8d066d2203f870cb6d8242641278e6e1daf8c4ac124b,2026-05-19T16:01:10.643Z
FT-TFAI3K34C153,paid,512,1.299589,ton,trust,0xBB3cbd8A9552fbACaFF940a0415c749dC1Ade3f5,,0xa8016924e9e44ca05cf464131b1ffc334f3309734d6aee68e01f7451bf147c1d,2026-05-19T15:09:20.171Z
FT-TFAH4H56C45B,paid,1182,2.999983,ton,trust,0xA3989CA119d42785264149BAabA1A5219e10A9aD,,0x3c1a8a5d332e4e5c62511f5e262b60ed4dd92a5d4e0d187bcb8120c6055644ef,2026-05-19T14:48:17.436Z
FT-TFADQ2A6A26E,paid,720,1.799593,ton,trust,0xa9D6871A8b75d4f816aa9fbb6c20e154eB993789,,0xe28803946f254c1b15ab6c7494f2ad7e292d4953b73af30d22aa3f4710dff1c7,2026-05-19T13:34:50.880Z
FT-TFACNV36EA07,waiting,10000,,usdt,trust,0xA175a10bcc74B3C7831a5D7c4F34e3C34a3288D9,,,2026-05-19T13:11:55.172Z
FT-TFAC4J4C4C05,paid,500,1.256144,ton,trust,0x5abf26a5b4f657ae9972f05ea02de6608051584f,,0x035a7b86373df186ba110ac54dfb4c8ffcb494d0f747cd84a93925aa2abc6a08,2026-05-19T13:00:19.374Z
FT-TFAAPQ1801FE,paid,500,1.249916,ton,trust,0x540677920359E87E5C70ef0bDc6fb0BeB98B6806,,0xa9364b487cc8da751f9e024ac4a16cdf3ae6a7cbde575624de72fd74c0d8c39c,2026-05-19T12:29:50.137Z
FT-TFAAPL456497,waiting,500,1.249639,ton,trust,0x540677920359E87E5C70ef0bDc6fb0BeB98B6806,,,2026-05-19T12:29:45.626Z
FT-TFA5O1C76860,paid,2515,5.029501,ton,trust,0x615dBb6Ead3b534B7f0d1c6ba53f4970e2647cC5,,0x529f07baec33e5097accf07212c11deaff729036d287893a37fac15fdbc5fb77,2026-05-19T10:40:49.844Z
FT-TF9VE932C119,paid,1250,2.499195,ton,trust,0x7a41E332431d4e069B65532c8830E172d6Afa32e,,0xcc886f2cd084f3bf8db23cab1ee5250113f35247f2b5cc760599ebe82f7f2723,2026-05-19T06:58:57.544Z
FT-TF8Z8678AF20,paid,641,1.281412,ton,trust,0xfCF51483E2e8b78a37c3cB830dc5F358758aA736,,0xcfbef683ef18f8c7d5f9c1567a1a1bf298d18ac2716693c9766f1d39b75a495d,2026-05-18T19:24:06.568Z
FT-TF8UHT30DF84,paid,500,,usdt,trust,0x5b42abae085d0584dce5f39feaaad90f4b2de8e3,,0xd8396a44a632994ea23f23f7dd0495fea9434af5441597a84d86de3a31cfb7af,2026-05-18T17:41:53.368Z
FT-TF8T9JD658D2,paid,644,1.288209,ton,trust,0x9896815D38E4E7eb93c925693bE2B7f8Fce756dE,,0x2ad1a79d63cbe7219f0019a620d933eda03755c04171c2b8550d6ec2aed1ce7a,2026-05-18T17:15:19.027Z
FT-TF8SFRFCA17F,paid,2500,4.999886,ton,trust,0xC83AFC777144cCfD81b2E408a54bC12a589b1be3,,0xe1dc1d64aa1b63a8d76af43ec4c784a0600d2f478d379c40e3ee2a6ec93dcd5b,2026-05-18T16:57:27.876Z
FT-SFTF8OVM9155FB,paid,650,1.29907,ton,metamask,5ccB8ZMw45h2FtKVChbJjJTtVYseL1LJ5K1NvPMq282G,,3a1tXjxg6NYRH6pmKPRuHEV1X14zaXUt997XCMzjjgzWmBbjBFQW9A1DgWFbycL4f7ZodqocfG1VJC6pX3TZXsRW,2026-05-18T15:40:34.755Z
FT-TF8OLMBD5A5F,paid,651,1.302015,ton,trust,0x6cf48701a521b50dc0FC2617950C2199Bc9af041,,0xae6c042264314154cfaf164859c9e0a72dba312e5b5b927f3c385fa011f75e8d,2026-05-18T15:34:34.028Z
FT-SFTF8O48D4F685,cancelled,650,1.299061,ton,metamask,5ccB8ZMw45h2FtKVChbJjJTtVYseL1LJ5K1NvPMq282G,,,2026-05-18T15:24:08.681Z
FT-SFTF8NRDA09881,paid,650,1.299119,ton,metamask,5ccB8ZMw45h2FtKVChbJjJTtVYseL1LJ5K1NvPMq282G,,4nXwR9eBjQBVKqQUKRY5qE5dD68YmqHsacg1ErLF8Qk72BQTTNWVQJT3pXysMD5q2Jpdj3sKG24KdyzkQJ1CMBTe,2026-05-18T15:16:25.209Z
FT-TF8LAZ7FDB79,paid,2500,4.999508,ton,trust,0xA3989CA119d42785264149BAabA1A5219e10A9aD,,0x7ff4452928631d0c71c88f7343408f7d40795a8880ee6a7a51cdf7de437f7e31,2026-05-18T14:23:23.972Z
FT-TF8L9F663D87,paid,2500,4.999223,ton,trust,0x3901dc24aD0aB356956C1b413287b302EE73EC4C,,0x32729d90fbbda5b4adeb8685aedc5a6670c8e1a81654d42d4e9153811bbc8947,2026-05-18T14:22:27.777Z
FT-TF8K688FB4F5,waiting,1250,2.499126,ton,trust,0x3901dc24aD0aB356956C1b413287b302EE73EC4C,,,2026-05-18T13:58:56.025Z
FT-SFTF8GT54C3705,cancelled,650,1.299018,ton,metamask,5ccB8ZMw45h2FtKVChbJjJTtVYseL1LJ5K1NvPMq282G,,,2026-05-18T12:46:17.823Z
FT-SFTF8FP7852E2B,send_failed,620,1.239628,ton,metamask,5ccB8ZMw45h2FtKVChbJjJTtVYseL1LJ5K1NvPMq282G,,,2026-05-18T12:22:19.135Z
FT-TF8F1QF6A9AA,paid,1500,2.999488,ton,trust,0x7a41E332431d4e069B65532c8830E172d6Afa32e,,0x63b392f90427945099c0a20d7a3433a78aa5dbc3e5f96fe6814d446a55b509c2,2026-05-18T12:08:14.749Z
FT-SFTF8EYP187DC9,send_failed,635,1.269036,ton,metamask,5ccB8ZMw45h2FtKVChbJjJTtVYseL1LJ5K1NvPMq282G,,,2026-05-18T12:06:25.964Z
FT-TF8CTQA9A631,waiting,651,1.301112,ton,metamask,5ccB8ZMw45h2FtKVChbJjJTtVYseL1LJ5K1NvPMq282G,,,2026-05-18T11:20:14.139Z
FT-TF8CNNF9E8D5,send_failed,651,1.301941,ton,metamask,5ccB8ZMw45h2FtKVChbJjJTtVYseL1LJ5K1NvPMq282G,,,2026-05-18T11:16:35.076Z
FT-TF8A5K243D61,paid,650,1.299799,ton,,0x89f0beB935c5892551014B3c38ad81F6d199a284,,0x2847bfdb85d4a71f44352066796c013f0d36a2a2deaeece9da89829043a20191,2026-05-18T10:22:32.476Z
FT-TF866T336A59,waiting,641,1.282007,ton,,0x9F1aB91bC42bf5a56532daB2366893F4ff42b9E7,,,2026-05-18T08:56:53.272Z
FT-TF8615CCC54B,paid,1248,2.495025,ton,,0x9F1aB91bC42bf5a56532daB2366893F4ff42b9E7,,0x9f61295ededb093cae6890442158805100edc3a14a0d51b11284e158fd2c5fb9,2026-05-18T08:53:29.934Z
FT-TF840U720609,paid,1050,2.099044,ton,,0x9d386d2db23e62ceaab8bae32499365d23b88268,,0x13645d00ca1036c015ea98d20f138fa52dd946ccf3ab497af88b9ecaacc186d7,2026-05-18T08:10:06.914Z
FT-TF81ILAB76DD,paid,1250,2.499432,ton,,0xE5231d75aa198Ee9569666cba19F5352Ccee5FFC,,0x54df426096814ce3b4c64428eba0e4120421d5b59d5d560d726d900318cb422a,2026-05-18T07:15:57.366Z
FT-TF80W0A54944,paid,641,1.282074,ton,,0x38457dF6897a67A582C493280DC58003148ABe53,,0x19ca39901bea106f1875bd1c7b939fa3219a0de705e0886f6258985002e739f3,2026-05-18T07:02:24.870Z
FT-TF80989EA4CB,paid,2000,3.999103,ton,,0xA3989CA119d42785264149BAabA1A5219e10A9aD,,0xd49b4768cd0686e85bbd9b81d86e59784a98cddb2d3719da113a548e4b20a05f,2026-05-18T06:48:44.766Z
FT-TF7ZHQ904DC7,paid,500,,usdt,,0xcdabf69f3823d2813b0f195eb84067ba7be93b3d,,0x607083491dfbca41baac25068ea5e1b1e13676cd97451723b9d42a038079ef3d,2026-05-18T06:32:14.778Z
FT-TF7U86240B4D,paid,651,1.301943,ton,,0x3801A3b847ee7413ED06e981b582f2882D7C2D92,,0x01632a84f3ba471fd16134544b202b7c5131b8ff16cc178c5d7d987cf1949b8a,2026-05-18T04:38:30.046Z
FT-TF7TTL42A0FF,waiting,500,,usdt,,0x3801A3b847ee7413ED06e981b582f2882D7C2D92,,,2026-05-18T04:29:45.881Z
FT-TF7C1DD40FE7,waiting,5000,9.999131,ton,,0xb41f63dC61eeA83CED3137d5F1dB551Fe472a9e8,,,2026-05-17T22:05:37.250Z
FT-TF78XZ2D3DCF,paid,940,1.879982,ton,,0x5B7cF15D07c0616Ed7729801fa0AE1EC4d4e5cc1,,0x2212f608c9b253750dfda6e3e77acafc27184a48de7d1a23f8f4a5479442f5de,2026-05-17T20:58:47.899Z
FT-TF77Q9927CDE,paid,750,1.499412,ton,,0xDf6a560a484Fe4f74577EdC718f41E40461d8c3E,,0x24803b00f86bf78842111c7e15503b5c0f310aa165adfec84cada128bba16f52,2026-05-17T20:32:33.091Z
FT-TF76ME59C048,paid,729,1.456898,ton,,0xA80384a00F78b4c03F84b8F1324376a9DB89F885,,0xd7a590058866caac96f39afe6da8771e0a6ca6c68b45f801e98db94580d34cff,2026-05-17T20:08:38.551Z
FT-TF76C384E7E4,paid,700,1.399543,ton,,0x5B7cF15D07c0616Ed7729801fa0AE1EC4d4e5cc1,,0x09f896b5a325384f64191e687bb002e596d998f7dc0fb20c32c1734315227a92,2026-05-17T20:02:27.003Z
FT-TF75UQE4B9F1,waiting,500,,usdt,,0x5B7cF15D07c0616Ed7729801fa0AE1EC4d4e5cc1,,,2026-05-17T19:52:02.837Z
FT-TF74GNEE2C31,paid,1250,2.499392,ton,,0x53Cd2a9253215B630a3F5ca560D11E5fF620546f,,0x44afaa7e16e84cf82f9c3079cb95128b8b1f4ac2b1b713e6582720223ea3187f,2026-05-17T19:21:59.950Z
FT-TF72N2E4EC14,paid,1000,,usdt,,0x9A3b01E773f4dfcC80d7e83854cF2cE89932A33C,,0xfe3d53d613592e686f862b434b825cec6df1092ef18e1a10433667cd8228800c,2026-05-17T18:42:38.460Z
FT-TF6YGI607556,paid,500,,usdt,,0x6434da31d1fdc02b37fe5d195e2f87f7096adc0a,,0xe82219ce7bd1fa9864379b5f2f05875d1260fa674fe4f10c56c8d28b8175cca6,2026-05-17T17:12:18.490Z
FT-TF6ULABF057A,paid,750,1.499237,ton,,0x4FA18aBB09259FD3eC01884bcFed0e396A7Aaeb4,,0x740cad2a21f609a8375c72ab8be5a8ad8522af8841cec51a462a2b33878acab0,2026-05-17T15:48:46.888Z
